snapped_at,price,market_cap,total_volume
2018-08-09 00:00:00 UTC,6259.527709667600,107652609456.40500,6834119514.685930
2018-08-10 00:00:00 UTC,6531.249786737060,112337822894.36700,5843796067.332070
2018-08-11 00:00:00 UTC,6166.590417501740,106079149843.79400,6731245061.318040
2018-08-12 00:00:00 UTC,6205.218479944850,106756980148.52300,5708911347.302450
2018-08-13 00:00:00 UTC,6318.407221774420,108716328040.72300,5507023282.246060
2018-08-14 00:00:00 UTC,6283.99625058153,108135868387.49300,5381627198.227140
2018-08-15 00:00:00 UTC,6212.2260400556100,106911788926.75300,7179484727.419350
2018-08-16 00:00:00 UTC,6267.76870877378,107788817699.53100,6619548180.387300
2018-08-17 00:00:00 UTC,6309.385226219000,108578823549.00000,5982589406.965
2018-08-18 00:00:00 UTC,6566.715163377380,113018605465.47200,6206194158.951440
2018-08-19 00:00:00 UTC,6382.0605914076100,109889851531.17300,5616965845.869810
2018-08-20 00:00:00 UTC,6475.494019667380,111490970656.3320,5160365103.111910
2018-08-21 00:00:00 UTC,6242.8824384008000,107511643840.85800,5578292470.702210
2018-08-22 00:00:00 UTC,6467.271730309680,111399689881.15700,5658517103.312640
2018-08-23 00:00:00 UTC,6336.6563271087000,109149076720.34000,6759411527.692140
2018-08-24 00:00:00 UTC,6521.065718268510,112327439428.77200,6096332849.286640
2018-08-25 00:00:00 UTC,6684.379144206680,115177527171.81300,6913767387.863620
2018-08-26 00:00:00 UTC,6736.036057516460,116073397012.0420,5280060347.564510
2018-08-27 00:00:00 UTC,6728.2880026290100,115406552890.99000,5215045899.16829
2018-08-28 00:00:00 UTC,6911.096028949570,118546009735.9250,5444349729.346100
2018-08-29 00:00:00 UTC,7075.9834051051,121992306938.18800,6246602891.545190
2018-08-30 00:00:00 UTC,7046.748947280630,121479639297.29700,5976493148.705720
2018-08-31 00:00:00 UTC,7024.14510718162,121103237785.70200,6587864491.268960
2018-09-01 00:00:00 UTC,7027.631279401850,121186316787.30200,5959884320.762270
2018-09-02 00:00:00 UTC,7211.270767868820,124380655386.09400,6257915213.839820
2018-09-03 00:00:00 UTC,7305.272801003750,125994361368.72600,6640164154.549980
2018-09-04 00:00:00 UTC,7260.897516647860,125200923805.39100,4511643009.568320
2018-09-05 00:00:00 UTC,7359.462992923030,126949626755.787,5344233220.454350
2018-09-06 00:00:00 UTC,6764.926773778230,116602093876.15300,7036065651.078340
2018-09-07 00:00:00 UTC,6498.2796126096600,112034863191.16700,6558109770.577360
2018-09-08 00:00:00 UTC,6397.81887024023,110396118506.89400,4422971841.981780
2018-09-09 00:00:00 UTC,6181.19445075213,106668555553.51500,3851077568.004000
2018-09-10 00:00:00 UTC,6260.764806062480,108219061918.52300,4174629547.594030
2018-09-11 00:00:00 UTC,6308.135474616630,108846231385.41900,4504626593.565220
2018-09-12 00:00:00 UTC,6278.917069628560,108449181464.89600,5001529025.0324700
2018-09-13 00:00:00 UTC,6330.574238022660,109298582014.21800,5026516732.831190
2018-09-14 00:00:00 UTC,6486.461630393620,112124461661.13200,4987196751.843110
2018-09-15 00:00:00 UTC,6500.01225461663,112334356298.05200,5350596522.1363
2018-09-16 00:00:00 UTC,6530.221146234660,112796085614.54700,4295951323.506040
2018-09-17 00:00:00 UTC,6506.248493217290,112373562206.64600,4715407407.2624000
2018-09-18 00:00:00 UTC,6250.121727322730,107960190646.44900,4600931272.400570
2018-09-19 00:00:00 UTC,6347.069255451610,109629673484.58700,4472798160.224330
2018-09-20 00:00:00 UTC,6383.753841158380,110292032124.89300,5380977505.120020
2018-09-21 00:00:00 UTC,6491.885242276880,112172960507.04000,5059042419.562760
2018-09-22 00:00:00 UTC,6753.8344721403300,116710823191.41200,5931455399.756280
2018-09-23 00:00:00 UTC,6747.032172960020,116607568773.97200,5159534298.571350
2018-09-24 00:00:00 UTC,6711.029451815930,116001860055.71200,4322794079.140570
2018-09-25 00:00:00 UTC,6596.187313045580,114024650850.04800,4626497701.607780
2018-09-26 00:00:00 UTC,6441.311544542550,111360852966.35100,4580781824.213020
2018-09-27 00:00:00 UTC,6462.795635292240,111760801180.66000,3788299697.410920
2018-09-28 00:00:00 UTC,6704.704245729720,115905890382.87800,4690261094.515130
2018-09-29 00:00:00 UTC,6634.765964572910,114768551691.0020,3140320712.2601000
2018-09-30 00:00:00 UTC,6606.073795422080,114265552573.72400,2294291064.4914500
2018-10-01 00:00:00 UTC,6626.037956098490,114617564007.79600,1908960742.721660
2018-10-02 00:00:00 UTC,6598.841259755180,114225251470.51200,1893760872.9018500
2018-10-03 00:00:00 UTC,6524.60769791521,112814709079.4460,2035903501.1612600
2018-10-04 00:00:00 UTC,6499.262379115220,112545036630.82400,2247969611.1974300
2018-10-05 00:00:00 UTC,6578.701809284850,113846158429.54800,2059404665.1894500
2018-10-06 00:00:00 UTC,6621.189363919920,114567814410.76200,1840911129.5584200
2018-10-07 00:00:00 UTC,6589.124681678890,114021329402.35300,1464404365.51708
2018-10-08 00:00:00 UTC,6584.832153052510,113962679824.78200,1499424737.458560
2018-10-09 00:00:00 UTC,6653.089450830430,115167647222.33900,2081626437.4631700
2018-10-10 00:00:00 UTC,6633.745729917170,114837789505.01500,1741398466.9025900
2018-10-11 00:00:00 UTC,6582.455082387100,113987017102.36600,2070407901.7011100
2018-10-12 00:00:00 UTC,6234.367641454440,108155761830.83000,3581191342.767340
2018-10-13 00:00:00 UTC,6285.592982799840,108845285496.56700,2295615181.287240
2018-10-14 00:00:00 UTC,6314.883384422570,109372673141.74000,1851879464.8516300
2018-10-15 00:00:00 UTC,6328.554760034420,109624316973.41200,1847113723.7353700
